Account_Number,Account_Type,Final_Decision,Current_Delinquency_status,Application_Date,Application_Score,Cheque_Card_Flag,Existing_Customer_Flag,Gross_Annual_Income,Home_Telephone_Number,Insurance_Required,Loan_Amount,Loan_Payment_Frequency,Loan_Payment_Method,Marital_Status,Number_of_Dependants,Number_of_Payments,Occupation_Code,Promotion_Type,Residential_Status,Time_at_Address,Time_in_Employment,Time_with_Bank,Weight_Factor,GB_Flag,Age_of_Applicant,Application_Month,Bureau_Score,SP_ER_Reference,SP_Number_Of_Searches_L6M,SP_Number_of_CCJs,Loan_to_income,split
10730734532,FL,Accept,,20061206,965,Y,Y,12000,N,N,1860,W,B,S,0,999,B,RR,H,500,1200,312,2,NTU,28,200612,1009,2,0,0,15.5,Development
10803550208,VL,Decline,,20060928,720,N,Y,10015,Y,N,3000,W,Q,M,1,999,M,RR,H,1201,702,0,2,Rejects,36,200609,784,3,0,0,29.96,Development
10769083290,FL,Accept,0,20060721,975,Y,N,11000,Y,N,5000,M,Q,M,3,24,B,RR,H,2500,2500,212,2,Good,48,200607,940,1,2,0,45.45,Development
10072636331,FL,Accept,1,20060529,960,Y,N,16500,Y,Y,5250,M,B,M,1,999,B,RR,H,4000,1800,11,2,Good,41,200605,902,1,1,0,31.82,Development
10737329597,FL,Accept,0,20060718,980,Y,Y,60000,Y,N,10000,M,B,M,3,999,B,RR,H,201,1000,1210,2,Good,37,200607,1013,1,7,0,16.67,Development
10464533150,FL,Accept,1,20061109,920,N,N,22300,Y,Y,4000,M,B,M,0,999,M,OT,H,107,807,1208,2,Good,47,200611,945,1,1,0,17.94,Development
10238114351,FL,Accept,0,20060328,985,Y,N,12444,Y,,0,M,B,M,3,999,B,RR,H,800,1700,1110,2,Good,38,200603,1002,1,1,0,-9999998,Development
10639250159,VL,Decline,,20070122,695,N,N,9360,Y,Y,2500,W,Q,S,0,999,M,OT,O,104,201,107,2,Rejects,19,200701,787,3,0,0,26.71,Development
10686407596,VL,Accept,2,20060714,945,Y,Y,9000,Y,N,1600,M,B,S,0,999,B,RR,H,103,2,706,2,Indeterminate,25,200607,986,2,2,0,17.78,Development
10130851809,FL,Accept,0,20061017,965,N,N,12000,Y,Y,1518,M,B,S,0,12,M,RR,O,3403,1707,107,2,Good,34,200610,844,1,3,0,12.65,Development
